Likely true (according to Katie Pearson)?,candidate record citation,candidate query,candidate record reference,accession,specimen_voucher,definition,derived_from,OBI specimen
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/otherCatalogNumbers""] == ""13881"")'",https://cch2.org/portal/collections/individual/index.php?occid=214465,https://www.ncbi.nlm.nih.gov/nuccore/MT766204,D. Smith 203 (OBI13881),"Angelica lucida D. Smith 203 (OBI13881) rpl32-trnL intergenic spacer and tRNA-Leu (trnL) gene, partial sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2959384-L2959440,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/otherCatalogNumbers""] == ""13881"")'",https://cch2.org/portal/collections/individual/index.php?occid=214465,https://www.ncbi.nlm.nih.gov/nuccore/MT735479,D. Smith 203 (OBI13881),"Angelica lucida voucher D. Smith 203 (OBI13881) internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2248915-L2248968,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/otherCatalogNumbers""] == ""13881"")'",https://cch2.org/portal/collections/individual/index.php?occid=214465,https://www.ncbi.nlm.nih.gov/nuccore/MT765849,D. Smith 203 (OBI13881),"Angelica lucida D. Smith 203 (OBI13881) ndhF-rpl32 intergenic spacer, partial sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2928839-L2928895,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/otherCatalogNumbers""] == ""13881"")'",https://cch2.org/portal/collections/individual/index.php?occid=214465,https://www.ncbi.nlm.nih.gov/nuccore/MT766044,D. Smith 203 (OBI13881),"Angelica lucida D. Smith 203 (OBI13881) tRNA-Asp (trnD-GUC), tRNA-Tyr (trnY-GUA), tRNA-Glu (trnE-UUC), and tRNA-Thr (trnT-GGU) genes, complete sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2946780-L2946894,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/otherCatalogNumbers""] == ""13881"")'",https://cch2.org/portal/collections/individual/index.php?occid=214465,https://www.ncbi.nlm.nih.gov/nuccore/MT766204,D. Smith 203 (OBI13881),"Angelica lucida D. Smith 203 (OBI13881) rpl32-trnL intergenic spacer and tRNA-Leu (trnL) gene, partial sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2959384-L2959440,
yes,line:zip:hash://sha256/37f22b2969e0f13216d8f0acbf4358ff8497359b29204254d1329b32995c645a!/occurrences.csv!/L11318,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/recordNumber""] == 27922)' | head -n1",https://cch2.org/portal/collections/individual/index.php?occid=175241,https://www.ncbi.nlm.nih.gov/nuccore/MN230951,OBI 27922,"Cirsium fontinale var. campylon voucher OBI 27922 external transcribed spacer, partial sequence.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L2236664-L2236715,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/recordNumber""] == 27922)' | head -n1",https://cch2.org/portal/collections/individual/index.php?occid=175241,https://www.ncbi.nlm.nih.gov/nuccore/MN275341,OBI 27922,"Cirsium fontinale var. campylon voucher OBI 27922 maturase K (matK) gene, partial cds; chloroplast.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L3465168-L3465235,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/recordNumber""] == 27922)' | head -n1",https://cch2.org/portal/collections/individual/index.php?occid=175241,https://www.ncbi.nlm.nih.gov/nuccore/MN275438,OBI 27922,"Cirsium fontinale var. campylon voucher OBI 27922 photosystem II protein D1 (psbA) gene, partial cds; psbA-trnH intergenic spacer, complete sequence; and tRNA-His (trnH) gene, partial sequence; chloroplast.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L3471305-L3471372,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/recordNumber""] == 27922)' | head -n1",https://cch2.org/portal/collections/individual/index.php?occid=175241,https://www.ncbi.nlm.nih.gov/nuccore/MN314905,OBI 27922,"Cirsium fontinale var. campylon voucher OBI 27922 tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L3817340-L3817401,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/recordNumber""] == 27922)' | head -n1",https://cch2.org/portal/collections/individual/index.php?occid=175241,https://www.ncbi.nlm.nih.gov/nuccore/MN335163,OBI 27922,"Cirsium fontinale var. campylon voucher OBI 27922 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L4234906-L4234957,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/recordNumber""] == 27922)' | head -n1",https://cch2.org/portal/collections/individual/index.php?occid=175241,https://www.ncbi.nlm.nih.gov/nuccore/MN230951,OBI 27922,"Cirsium fontinale var. campylon voucher OBI 27922 external transcribed spacer, partial sequence.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L2236664-L2236715,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/recordNumber""] == 27922)' | head -n1",https://cch2.org/portal/collections/individual/index.php?occid=175241,https://www.ncbi.nlm.nih.gov/nuccore/MN275341,OBI 27922,"Cirsium fontinale var. campylon voucher OBI 27922 maturase K (matK) gene, partial cds; chloroplast.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L3465168-L3465235,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/recordNumber""] == 27922)' | head -n1",https://cch2.org/portal/collections/individual/index.php?occid=175241,https://www.ncbi.nlm.nih.gov/nuccore/MN275438,OBI 27922,"Cirsium fontinale var. campylon voucher OBI 27922 photosystem II protein D1 (psbA) gene, partial cds; psbA-trnH intergenic spacer, complete sequence; and tRNA-His (trnH) gene, partial sequence; chloroplast.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L3471305-L3471372,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/recordNumber""] == 27922)' | head -n1",https://cch2.org/portal/collections/individual/index.php?occid=175241,https://www.ncbi.nlm.nih.gov/nuccore/MN314905,OBI 27922,"Cirsium fontinale var. campylon voucher OBI 27922 tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L3817340-L3817401,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/recordNumber""] == 27922)' | head -n1",https://cch2.org/portal/collections/individual/index.php?occid=175241,https://www.ncbi.nlm.nih.gov/nuccore/MN335163,OBI 27922,"Cirsium fontinale var. campylon voucher OBI 27922 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L4234906-L4234957,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/recordNumber""] == 27922)' | head -n1",https://cch2.org/portal/collections/individual/index.php?occid=175241,https://www.ncbi.nlm.nih.gov/nuccore/MN230952,OBI 29634F,"Cirsium scariosum var. citrinum voucher OBI 29634F external transcribed spacer, partial sequence.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L2236716-L2236767,
yes,,"preston dwc-stream | jq -c 'select(.[""http://rs.tdwg.org/dwc/terms/recordNumber""] == ""29634F"")' ",https://cch2.org/portal/collections/individual/index.php?occid=175592,https://www.ncbi.nlm.nih.gov/nuccore/MN275437,OBI 29634F,"Cirsium scariosum var. citrinum voucher OBI 29634F photosystem II protein D1 (psbA) gene, partial cds; psbA-trnH intergenic spacer, complete sequence; and tRNA-His (trnH) gene, partial sequence; chloroplast.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L3471237-L3471304,
yes,,"preston dwc-stream | jq -c 'select(.[""http://rs.tdwg.org/dwc/terms/recordNumber""] == ""29634F"")' ",https://cch2.org/portal/collections/individual/index.php?occid=175592,https://www.ncbi.nlm.nih.gov/nuccore/MN314906,OBI 29634F,"Cirsium scariosum var. citrinum voucher OBI 29634F tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L3817402-L3817463,
yes,,"preston dwc-stream | jq -c 'select(.[""http://rs.tdwg.org/dwc/terms/recordNumber""] == ""29634F"")' ",https://cch2.org/portal/collections/individual/index.php?occid=175592,https://www.ncbi.nlm.nih.gov/nuccore/MN335162,OBI 29634F,"Cirsium scariosum var. citrinum voucher OBI 29634F internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L4234853-L4234905,
yes,,"preston dwc-stream | jq -c 'select(.[""http://rs.tdwg.org/dwc/terms/recordNumber""] == ""29634F"")' ",https://cch2.org/portal/collections/individual/index.php?occid=175592,https://www.ncbi.nlm.nih.gov/nuccore/MN230952,OBI 29634F,"Cirsium scariosum var. citrinum voucher OBI 29634F external transcribed spacer, partial sequence.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L2236716-L2236767,
yes,,"preston dwc-stream | jq -c 'select(.[""http://rs.tdwg.org/dwc/terms/recordNumber""] == ""29634F"")' ",https://cch2.org/portal/collections/individual/index.php?occid=175592,https://www.ncbi.nlm.nih.gov/nuccore/MN275437,OBI 29634F,"Cirsium scariosum var. citrinum voucher OBI 29634F photosystem II protein D1 (psbA) gene, partial cds; psbA-trnH intergenic spacer, complete sequence; and tRNA-His (trnH) gene, partial sequence; chloroplast.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L3471237-L3471304,
yes,,"preston dwc-stream | jq -c 'select(.[""http://rs.tdwg.org/dwc/terms/recordNumber""] == ""29634F"")' ",https://cch2.org/portal/collections/individual/index.php?occid=175592,https://www.ncbi.nlm.nih.gov/nuccore/MN314906,OBI 29634F,"Cirsium scariosum var. citrinum voucher OBI 29634F tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L3817402-L3817463,
yes,,"preston dwc-stream | jq -c 'select(.[""http://rs.tdwg.org/dwc/terms/recordNumber""] == ""29634F"")' ",https://cch2.org/portal/collections/individual/index.php?occid=175592,https://www.ncbi.nlm.nih.gov/nuccore/MN335162,OBI 29634F,"Cirsium scariosum var. citrinum voucher OBI 29634F internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L4234853-L4234905,
yes,line:zip:hash://sha256/37f22b2969e0f13216d8f0acbf4358ff8497359b29204254d1329b32995c645a!/occurrences.csv!/L11279,"preston dwc-stream | grep -E ""[^0-9]30302-8[^0-9]"" | grep OBI",https://cch2.org/portal/collections/individual/index.php?occid=175203,https://www.ncbi.nlm.nih.gov/nuccore/MN230934,OBI 30302-8,"Cirsium cymosum var. canovirens voucher OBI 30302-8 external transcribed spacer, partial sequence.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L2235792-L2235843,
yes,,"preston dwc-stream | grep -E ""[^0-9]30302-8[^0-9]"" | grep OBI",https://cch2.org/portal/collections/individual/index.php?occid=175203,https://www.ncbi.nlm.nih.gov/nuccore/MN275314,OBI 30302-8,"Cirsium cymosum var. canovirens voucher OBI 30302-8 maturase K (matK) gene, partial cds; chloroplast.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L3463352-L3463419,
yes,,"preston dwc-stream | grep -E ""[^0-9]30302-8[^0-9]"" | grep OBI",https://cch2.org/portal/collections/individual/index.php?occid=175203,https://www.ncbi.nlm.nih.gov/nuccore/MN275448,OBI 30302-8,"Cirsium cymosum var. canovirens voucher OBI 30302-8 photosystem II protein D1 (psbA) gene, partial cds; psbA-trnH intergenic spacer, complete sequence; and tRNA-His (trnH) gene, partial sequence; chloroplast.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L3471969-L3472036,
yes,,"preston dwc-stream | grep -E ""[^0-9]30302-8[^0-9]"" | grep OBI",https://cch2.org/portal/collections/individual/index.php?occid=175203,https://www.ncbi.nlm.nih.gov/nuccore/MN314894,OBI 30302-8,"Cirsium cymosum var. canovirens voucher OBI 30302-8 tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L3816665-L3816726,
yes,,"preston dwc-stream | grep -E ""[^0-9]30302-8[^0-9]"" | grep OBI",https://cch2.org/portal/collections/individual/index.php?occid=175203,https://www.ncbi.nlm.nih.gov/nuccore/MN335114,OBI 30302-8,"Cirsium cymosum var. canovirens voucher OBI 30302-8 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L4232303-L4232357,
yes,,"preston dwc-stream | grep -E ""[^0-9]30302-8[^0-9]"" | grep OBI",https://cch2.org/portal/collections/individual/index.php?occid=175203,https://www.ncbi.nlm.nih.gov/nuccore/MN230934,OBI 30302-8,"Cirsium cymosum var. canovirens voucher OBI 30302-8 external transcribed spacer, partial sequence.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L2235792-L2235843,
yes,,"preston dwc-stream | grep -E ""[^0-9]30302-8[^0-9]"" | grep OBI",https://cch2.org/portal/collections/individual/index.php?occid=175203,https://www.ncbi.nlm.nih.gov/nuccore/MN275314,OBI 30302-8,"Cirsium cymosum var. canovirens voucher OBI 30302-8 maturase K (matK) gene, partial cds; chloroplast.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L3463352-L3463419,
yes,,"preston dwc-stream | grep -E ""[^0-9]30302-8[^0-9]"" | grep OBI",https://cch2.org/portal/collections/individual/index.php?occid=175203,https://www.ncbi.nlm.nih.gov/nuccore/MN275448,OBI 30302-8,"Cirsium cymosum var. canovirens voucher OBI 30302-8 photosystem II protein D1 (psbA) gene, partial cds; psbA-trnH intergenic spacer, complete sequence; and tRNA-His (trnH) gene, partial sequence; chloroplast.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L3471969-L3472036,
yes,,"preston dwc-stream | grep -E ""[^0-9]30302-8[^0-9]"" | grep OBI",https://cch2.org/portal/collections/individual/index.php?occid=175203,https://www.ncbi.nlm.nih.gov/nuccore/MN314894,OBI 30302-8,"Cirsium cymosum var. canovirens voucher OBI 30302-8 tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L3816665-L3816726,
yes,,"preston dwc-stream | grep -E ""[^0-9]30302-8[^0-9]"" | grep OBI",https://cch2.org/portal/collections/individual/index.php?occid=175203,https://www.ncbi.nlm.nih.gov/nuccore/MN335114,OBI 30302-8,"Cirsium cymosum var. canovirens voucher OBI 30302-8 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/e6a4a59c5e7b6eb9da85f2682e8663a287bfabad6cb1457536d5ff38b5a6af22!/L4232303-L4232357,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]62969[^0-9]"" | head -n1 ",https://cch2.org/portal/collections/individual/index.php?occid=175185,https://www.ncbi.nlm.nih.gov/nuccore/MN604450,OBI 60321,"Cirsium ciliolatum voucher OBI 60321 external transcribed spacer, partial sequence.",https://linker.bio/line:gz:hash://sha256/026bf3c6a3dfcfa2833728ebb587e4f5e61106cc9f8792b680ccc9eca0fa0cc4!/L6563357-L6563406,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]62969[^0-9]"" | head -n1 ",https://cch2.org/portal/collections/individual/index.php?occid=175185,https://www.ncbi.nlm.nih.gov/nuccore/MN604539,OBI 60321,"Cirsium ciliolatum voucher OBI 60321 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/026bf3c6a3dfcfa2833728ebb587e4f5e61106cc9f8792b680ccc9eca0fa0cc4!/L6567884-L6567939,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]62969[^0-9]"" | head -n1 ",https://cch2.org/portal/collections/individual/index.php?occid=175185,https://www.ncbi.nlm.nih.gov/nuccore/MN604661,OBI 60321,"Cirsium ciliolatum voucher OBI 60321 maturase K (matK) gene, partial cds; chloroplast.",https://linker.bio/line:gz:hash://sha256/026bf3c6a3dfcfa2833728ebb587e4f5e61106cc9f8792b680ccc9eca0fa0cc4!/L6575387-L6575454,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]62969[^0-9]"" | head -n1 ",https://cch2.org/portal/collections/individual/index.php?occid=175185,https://www.ncbi.nlm.nih.gov/nuccore/MN617219,OBI 60321,"Cirsium ciliolatum voucher OBI 60321 psbA (psbA) gene, partial cds; psbA-trnH intergenic spacer, complete sequence; and tRNA-His (trnH) gene, partial sequence; chloroplast.",https://linker.bio/line:gz:hash://sha256/026bf3c6a3dfcfa2833728ebb587e4f5e61106cc9f8792b680ccc9eca0fa0cc4!/L7013099-L7013163,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]62969[^0-9]"" | head -n1 ",https://cch2.org/portal/collections/individual/index.php?occid=175185,https://www.ncbi.nlm.nih.gov/nuccore/MN617296,OBI 60321,"Cirsium ciliolatum voucher OBI 60321 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast.",https://linker.bio/line:gz:hash://sha256/026bf3c6a3dfcfa2833728ebb587e4f5e61106cc9f8792b680ccc9eca0fa0cc4!/L7018043-L7018098,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]62969[^0-9]"" | head -n1 ",https://cch2.org/portal/collections/individual/index.php?occid=175185,https://www.ncbi.nlm.nih.gov/nuccore/MN604450,OBI 60321,"Cirsium ciliolatum voucher OBI 60321 external transcribed spacer, partial sequence.",https://linker.bio/line:gz:hash://sha256/026bf3c6a3dfcfa2833728ebb587e4f5e61106cc9f8792b680ccc9eca0fa0cc4!/L6563357-L6563406,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]62969[^0-9]"" | head -n1 ",https://cch2.org/portal/collections/individual/index.php?occid=175185,https://www.ncbi.nlm.nih.gov/nuccore/MN604539,OBI 60321,"Cirsium ciliolatum voucher OBI 60321 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/026bf3c6a3dfcfa2833728ebb587e4f5e61106cc9f8792b680ccc9eca0fa0cc4!/L6567884-L6567939,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]62969[^0-9]"" | head -n1 ",https://cch2.org/portal/collections/individual/index.php?occid=175185,https://www.ncbi.nlm.nih.gov/nuccore/MN604661,OBI 60321,"Cirsium ciliolatum voucher OBI 60321 maturase K (matK) gene, partial cds; chloroplast.",https://linker.bio/line:gz:hash://sha256/026bf3c6a3dfcfa2833728ebb587e4f5e61106cc9f8792b680ccc9eca0fa0cc4!/L6575387-L6575454,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]62969[^0-9]"" | head -n1 ",https://cch2.org/portal/collections/individual/index.php?occid=175185,https://www.ncbi.nlm.nih.gov/nuccore/MN617219,OBI 60321,"Cirsium ciliolatum voucher OBI 60321 psbA (psbA) gene, partial cds; psbA-trnH intergenic spacer, complete sequence; and tRNA-His (trnH) gene, partial sequence; chloroplast.",https://linker.bio/line:gz:hash://sha256/026bf3c6a3dfcfa2833728ebb587e4f5e61106cc9f8792b680ccc9eca0fa0cc4!/L7013099-L7013163,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]62969[^0-9]"" | head -n1 ",https://cch2.org/portal/collections/individual/index.php?occid=175185,https://www.ncbi.nlm.nih.gov/nuccore/MN617296,OBI 60321,"Cirsium ciliolatum voucher OBI 60321 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast.",https://linker.bio/line:gz:hash://sha256/026bf3c6a3dfcfa2833728ebb587e4f5e61106cc9f8792b680ccc9eca0fa0cc4!/L7018043-L7018098,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/otherCatalogNumbers""] == ""60356"")'",https://cch2.org/portal/collections/individual/index.php?occid=175596,https://www.ncbi.nlm.nih.gov/nuccore/MN604492,OBI 60356,"Cirsium scariosum var. scariosum voucher OBI 60356 external transcribed spacer, partial sequence.",https://linker.bio/line:gz:hash://sha256/026bf3c6a3dfcfa2833728ebb587e4f5e61106cc9f8792b680ccc9eca0fa0cc4!/L6565474-L6565524,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/otherCatalogNumbers""] == ""60356"")'",https://cch2.org/portal/collections/individual/index.php?occid=175596,https://www.ncbi.nlm.nih.gov/nuccore/MN604582,OBI 60356,"Cirsium scariosum var. scariosum voucher OBI 60356 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/026bf3c6a3dfcfa2833728ebb587e4f5e61106cc9f8792b680ccc9eca0fa0cc4!/L6570312-L6570369,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/otherCatalogNumbers""] == ""60356"")'",https://cch2.org/portal/collections/individual/index.php?occid=175596,https://www.ncbi.nlm.nih.gov/nuccore/MN604638,OBI 60356,"Cirsium scariosum var. scariosum voucher OBI 60356 maturase K (matK) gene, partial cds; chloroplast.",https://linker.bio/line:gz:hash://sha256/026bf3c6a3dfcfa2833728ebb587e4f5e61106cc9f8792b680ccc9eca0fa0cc4!/L6573800-L6573869,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/otherCatalogNumbers""] == ""60356"")'",https://cch2.org/portal/collections/individual/index.php?occid=175596,https://www.ncbi.nlm.nih.gov/nuccore/MN617272,OBI 60356,"Cirsium scariosum var. scariosum voucher OBI 60356 psbA (psbA) gene, partial cds; psbA-trnH intergenic spacer, complete sequence; and tRNA-His (trnH) gene, partial sequence; chloroplast.",https://linker.bio/line:gz:hash://sha256/026bf3c6a3dfcfa2833728ebb587e4f5e61106cc9f8792b680ccc9eca0fa0cc4!/L7016554-L7016619,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/otherCatalogNumbers""] == ""60356"")'",https://cch2.org/portal/collections/individual/index.php?occid=175596,https://www.ncbi.nlm.nih.gov/nuccore/MN617332,OBI 60356,"Cirsium scariosum var. scariosum voucher OBI 60356 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast.",https://linker.bio/line:gz:hash://sha256/026bf3c6a3dfcfa2833728ebb587e4f5e61106cc9f8792b680ccc9eca0fa0cc4!/L7020093-L7020150,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/otherCatalogNumbers""] == ""60356"")'",https://cch2.org/portal/collections/individual/index.php?occid=175596,https://www.ncbi.nlm.nih.gov/nuccore/MN604492,OBI 60356,"Cirsium scariosum var. scariosum voucher OBI 60356 external transcribed spacer, partial sequence.",https://linker.bio/line:gz:hash://sha256/026bf3c6a3dfcfa2833728ebb587e4f5e61106cc9f8792b680ccc9eca0fa0cc4!/L6565474-L6565524,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/otherCatalogNumbers""] == ""60356"")'",https://cch2.org/portal/collections/individual/index.php?occid=175596,https://www.ncbi.nlm.nih.gov/nuccore/MN604582,OBI 60356,"Cirsium scariosum var. scariosum voucher OBI 60356 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/026bf3c6a3dfcfa2833728ebb587e4f5e61106cc9f8792b680ccc9eca0fa0cc4!/L6570312-L6570369,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/otherCatalogNumbers""] == ""60356"")'",https://cch2.org/portal/collections/individual/index.php?occid=175596,https://www.ncbi.nlm.nih.gov/nuccore/MN604638,OBI 60356,"Cirsium scariosum var. scariosum voucher OBI 60356 maturase K (matK) gene, partial cds; chloroplast.",https://linker.bio/line:gz:hash://sha256/026bf3c6a3dfcfa2833728ebb587e4f5e61106cc9f8792b680ccc9eca0fa0cc4!/L6573800-L6573869,
